# data refs from sub_180388170 @ 0x180388170
# addr            name                  f32                       f64
0x0018098BB30  aRevEcfDpf0Fc           2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BB40  aRevEcfDpf0Hp           2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BB50  aRevEcfDpf0Lp           2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BB60  aRevEcfDpf1Fc           2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BB70  aRevEcfDpf1Hp           2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BB80  aRevEcfDpf1Lp           2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BB90  aRevEcfDpf2Fc           2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BBA0  aRevEcfDpf2Hp           2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BBB0  aRevEcfDpf2Lp           2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BBC0  aRevEcfDpf3Fc           2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BBD0  aRevEcfDpf3Hp           2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BBE0  aRevEcfDpf3Lp           2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BBF0  aRevEcfDlymute          2.0870534581718914e-19    1.3358051462752993e-152
0x0018098BC64  dword_18098BC64         2.0760257029905915e-05    5.648024712216735e-33
0x0018098BE1C  dword_18098BE1C         0.6634521484375           0.000225140858294004
0x0018098C030  xmmword_18098C030       1.401298464324817e-45     5e-324
